Place,Name,Club(s),Division,Country
54,YUE Hongrui,Dynamo Fencing Club,British Columbia,CAN
55T,ANDERSON Kerry,Okanagan Freestyle Fencing,British Columbia,CAN
55T,FERRE Loup-Yann (M),Club d'escrime STH de Québec,Quebec,CAN
57,MIHALACHE David,Fencing Academy of Calgary,Alberta,CAN
58,GOLAB Alex,Dynamo Fencing Club,British Columbia,CAN
59,ARMES Jonas,North Vancouver Fencing Club,British Columbia,CAN
60,PAN Tristan,SWP,Ontario,CAN
61,BOURGEOIS Nicolas,Masque de Fer,Quebec,CAN
62,YU Hunter,Toronto Fencing Club,Ontario,CAN
63,WANG zhixing,Mountain Fencing Club,Ontario,CAN
64,WANG Terry,Dynamo Fencing Club,British Columbia,CAN
65,CHEN Taylor,Vango Toronto,Ontario,CAN
66,MASE James,UNA - Unaffiliated,,CAN
67,DOYON-VERDON Gabriel (M),Masque de Fer,Quebec,CAN
68,JIANG Leon,Dynamo Fencing Club,British Columbia,CAN
69,BRIDGER Denis,Delta Fencing Club,British Columbia,CAN
70,ROBINSON Doug,La Salle Fencing,British Columbia,CAN
71,OPRISAN Alexandru,Dynamo Fencing Club,British Columbia,CAN
72,HSU Alvin,Antaean Fencing Club,British Columbia,CAN
73,VODOVOZOV Denis,Toronto Fencing Club,Ontario,CAN
74,ABBASI Abtin,BRE - Dynamiques de Brebeuf,Quebec,CAN
75,YAO Bowen,Vango Toronto,Ontario,CAN
76,MATTIE Jacob,University of British Columbia Fencing Club,British Columbia,CAN
77,WEI Michael,SWP,Ontario,CAN
78,LEUNG Kevin,OSM Fencing Club,British Columbia,CAN
79,CALLAN Mason,Okanagan Freestyle Fencing,British Columbia,CAN
80,KWON Aaron,Toronto Fencing Club,Ontario,CAN
81,FILONOV Andrei,Fencing Academy of Calgary,Alberta,CAN
82,BAUMGAERTNER Tim,Dynamo Fencing Club,British Columbia,CAN
83,ALWANI Sanjay,Simon Fraser University,British Columbia,CAN
84,BRENT Sean,Okanagan Freestyle Fencing,British Columbia,CAN
85,SPENCE John,University of British Columbia Fencing Club,British Columbia,CAN
86,CHEN lile,Lincoln Fencing Club,Ontario,CAN
87,JIM Angus,Dynamo Fencing Club,British Columbia,CAN
88,GE Oscar,Dynamo Fencing Club,British Columbia,CAN
89,CHENG Matthew,Simon Fraser University,British Columbia,CAN
90,CADAR Alex,Dynamo Fencing Club,British Columbia,CAN
91,KIM Benjamin,Simon Fraser University,British Columbia,CAN
